fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2008,4,4,0,191174.0,879.082172253644,1.72433774333333,2.92936812,0.766526113933333,301.771049,306.703617666667,298.210472,74.2151298,93.6265542333333,50.0094908666667,0.0060252631996666
ED_AN_GIANG_CHAU_DOC_CITY,2008,4,1,0,119167.0,1138.40407340536,1.73297963666667,2.94890935,0.7887437541,301.577826,306.424285666667,298.066934,75.5975265,94.6550613333333,51.7474695333333,0.0067039872746666
ED_AN_GIANG_CHAU_PHU_DISTRICT,2008,4,20,0,254480.0,564.2476978215,1.75624028333333,3.02752076,0.755293062,301.338933666667,306.162810333333,297.886197666667,76.4549458333333,94.8414855,52.7742401,0.007382282499
ED_AN_GIANG_CHAU_THANH_DISTRICT,2008,4,5,0,179518.0,505.597629703065,1.80903710333333,3.09886601333333,0.7506718832,301.319403666667,306.057164666667,297.886701,76.5286168333333,94.6816431,53.1866926333333,0.0072444850656666
ED_AN_GIANG_CHO_MOI_DISTRICT,2008,4,8,2,342312.0,926.120470440802,1.94194904666667,3.27391538333333,0.917320365333333,301.475408,306.183483666667,298.086141333333,75.9247212333333,94.0898559,52.5465071333333,0.0068217774973333
ED_AN_GIANG_LONG_XUYEN_CITY,2008,4,19,0,278804.0,2625.52029381298,1.90962533333333,3.19496769,0.873512084766667,301.411475666667,306.110959,297.998515333333,76.0094429666667,94.2455460333333,52.890487,0.0066110662883333
ED_AN_GIANG_PHU_TAN_DISTRICT,2008,4,1,0,231089.0,734.899030052473,1.77286701333333,3.01401653666667,0.783177814333333,301.548918333333,306.384203666667,298.042889333333,75.5615422333333,94.4239545,51.6784118,0.0071073567311666
ED_AN_GIANG_TAN_CHAU_TOWN,2008,4,10,0,179250.0,1011.7652636855,1.77341766,3.04320810333333,0.797080084333333,301.777179333333,306.721471333333,298.208544,74.6150777333333,94.0521336333333,50.0955210666667,0.006750447191
ED_AN_GIANG_THOAI_SON_DISTRICT,2008,4,2,0,192462.0,410.611528749335,1.86965473333333,3.20221101666667,0.784837261,301.240918,305.912879666667,297.837376333333,76.7147758333333,94.7241915,53.9675657666667,0.0069442035813333
ED_AN_GIANG_TINH_BIEN_DISTRICT,2008,4,2,0,125547.0,353.15611814346,1.71386899,2.93655155,0.7522089878,301.114021333333,305.964161666667,297.685115,76.7847167666667,95.1795624333333,52.8736332666667,0.0077165331803333
ED_AN_GIANG_TRI_TON_DISTRICT,2008,4,3,0,127426.0,212.962313027492,1.78277924,3.05140513333333,0.783120972,301.155758,305.822017666667,297.832825666667,77.4612268,95.0910684,54.3239201666667,0.0079646638216666
ED_BAC_LIEU_BAC_LIEU_CITY,2008,4,64,9,145962.0,834.020913090681,3.22122978,4.72753053666667,1.73729609966667,300.897770666667,303.974267,298.579885333333,78.9149102,91.6363944,63.3871688333333,0.0056529384258666
ED_BAC_LIEU_DONG_HAI_DISTRICT,2008,4,9,1,141896.0,248.940350877193,3.07206622333333,4.75023988666667,1.578839425,300.940129333333,304.165010666667,298.544544333333,79.8349201,92.8422580666667,63.1243572,0.00625918216
ED_BAC_LIEU_GIA_RAI_TOWN,2008,4,18,8,134839.0,379.806771449496,2.56772098666667,4.25050559333333,1.171261674,301.018610333333,305.051027666667,298.126613,78.6710090333333,94.3183879,58.1368263,0.0066506819456666
ED_BAC_LIEU_HONG_DAN_DISTRICT,2008,4,0,0,104196.0,245.751079034883,2.10518946,3.63969300333333,0.842759240666667,301.055924333333,305.861303333333,297.615603333333,77.5857286,95.5580835666667,54.2575603666667,0.007951915134
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2008,4,11,3,116955.0,279.128878281623,2.28916184333333,3.95929926,0.946500494333333,301.066979666667,305.641758,297.825217,77.8781065,95.1072066333333,55.0847047666667,0.0070962622603333
ED_BAC_LIEU_VINH_LOI_DISTRICT,2008,4,27,2,203699.0,666.500425013974,2.84025519833333,4.43568416166667,1.41045717116667,300.948071666667,304.592384,298.284089666667,78.7548113333333,93.1448239833333,60.2511082166667,0.0118213475536667
