fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2008,1,15,0,191174.0,879.082172253644,2.04827845806452,3.27305611612903,0.848244518225806,300.010231290323,304.543813548387,295.698760645161,67.3739909354839,90.6210005806452,46.0530808064516,0.0012958370821032
ED_AN_GIANG_CHAU_DOC_CITY,2008,1,5,1,119167.0,1138.40407340536,2.06075232903226,3.24955061935484,0.863896853032258,299.829956774194,304.250370645161,295.65573483871,69.1431752903226,91.0288571612903,48.197998,0.001147909271329
ED_AN_GIANG_CHAU_PHU_DISTRICT,2008,1,33,7,254480.0,564.2476978215,2.07627483548387,3.26512670645161,0.869029351290323,299.762034193548,304.198055483871,295.629109677419,69.3690403870968,91.459687,48.2973264516129,0.000860603590758
ED_AN_GIANG_CHAU_THANH_DISTRICT,2008,1,28,2,179518.0,505.597629703065,2.08252602258065,3.27613282580645,0.89522649483871,299.627657741935,303.982661935484,295.635288709677,70.6687121935484,91.6684171612903,49.760937516129,0.0008202406678967
ED_AN_GIANG_CHO_MOI_DISTRICT,2008,1,28,3,342312.0,926.120470440802,2.11695836774194,3.29861139032258,0.907859118387097,299.540167096774,303.841133870968,295.630959354839,71.8432750645161,92.5173459032258,50.7880005806452,0.0006575580367645
ED_AN_GIANG_LONG_XUYEN_CITY,2008,1,56,1,278804.0,2625.52029381298,2.09783852580645,3.26262723870968,0.924786012258064,299.501213225806,303.79668,295.653069354839,71.9705406129032,92.2754929677419,51.0995521290323,0.0007566131791354
ED_AN_GIANG_PHU_TAN_DISTRICT,2008,1,15,3,231089.0,734.899030052473,2.07117211612903,3.25657622258064,0.866256349354839,299.892292258065,304.373444193548,295.635132903226,68.618547,91.3369128709677,47.3859053548387,0.0008325930092645
ED_AN_GIANG_TAN_CHAU_TOWN,2008,1,23,1,179250.0,1011.7652636855,2.0684614483871,3.28526618064516,0.841979988870968,300.078273225806,304.649974193548,295.717734516129,67.4849500967742,91.2125489032258,45.9528491290323,0.0010691498968258
ED_AN_GIANG_THOAI_SON_DISTRICT,2008,1,11,1,192462.0,410.611528749335,2.11900588064516,3.32836587419355,0.909102249677419,299.491751935484,303.775282903226,295.716267741935,71.8091623225806,91.7632222258065,51.029175516129,0.001049935924729
ED_AN_GIANG_TINH_BIEN_DISTRICT,2008,1,8,1,125547.0,353.15611814346,2.08747406774194,3.29464620322581,0.895781159354839,299.538115806452,303.961627419355,295.528783225806,69.7241307419355,91.4915997096774,48.4972774193548,0.0011010226585645
ED_AN_GIANG_TRI_TON_DISTRICT,2008,1,2,0,127426.0,212.962313027492,2.17014623548387,3.42082114516129,0.947257474516129,299.651821935484,304.051252580645,295.772018387097,70.2422836129032,91.2226707419355,48.8612445483871,0.0011264221171225
ED_BAC_LIEU_BAC_LIEU_CITY,2008,1,58,15,145962.0,834.020913090681,3.90432616129032,5.12750754516129,2.63781106806452,298.762399032258,301.712548387097,296.651709354839,79.4191939032258,90.4364499677419,64.1226219677419,0.0018822445101548
ED_BAC_LIEU_DONG_HAI_DISTRICT,2008,1,10,3,141896.0,248.940350877193,3.76387875483871,5.06147362903226,2.46042163129032,298.911709032258,302.038141612903,296.737554193548,79.8480979677419,91.7903560645161,62.8846047419355,0.0020532995723322
ED_BAC_LIEU_GIA_RAI_TOWN,2008,1,15,9,134839.0,379.806771449496,3.07315774193548,4.30449784193548,1.85088246967742,299.006340967742,302.808641612903,296.248804516129,77.9597687096774,92.5446167096774,58.1979428387097,0.0017907355773806
ED_BAC_LIEU_HONG_DAN_DISTRICT,2008,1,4,2,104196.0,245.751079034883,2.47403775806452,3.64640218064516,1.34462378741935,299.170608387097,303.605874193548,295.652623225806,75.1812847419355,93.3487322903226,53.2628246129032,0.0014707164457709
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2008,1,6,3,116955.0,279.128878281623,2.69983699354839,3.90317698709677,1.52603958870968,299.088649354839,303.348945483871,295.874228709677,76.4346481612903,93.1104893548387,54.9434072580645,0.0015944121281225
ED_BAC_LIEU_VINH_LOI_DISTRICT,2008,1,30,6,203699.0,666.500425013974,3.39014790967742,4.61447311451613,2.15753290580645,298.865448225806,302.312143870968,296.34379016129,78.5914900483871,91.6465084354839,60.746812,0.0035191543568387
ED_BEN_TRE_BA_TRI_DISTRICT,2008,1,7,1,187953.0,528.657445287851,3.58138577741935,4.77513137419355,2.17168361677419,298.523631290323,301.251338709677,296.66521483871,81.6659340322581,91.6174838064516,67.0202255483871,0.0018066426170645
ED_BEN_TRE_BEN_TRE_CITY,2008,1,35,2,115308.0,1708.77296976882,2.12821234290323,3.03446856774194,1.08801316096774,298.672816774194,302.55092483871,295.962792903226,80.223914,94.5307084516129,59.9632623870968,0.0020311846979935
ED_BEN_TRE_BINH_DAI_DISTRICT,2008,1,13,1,131389.0,324.818294190359,3.51822684516129,4.67786820967742,2.07904378193548,298.570880967742,301.385752580645,296.675736774194,81.1231593870968,91.3601773548387,66.1511285806452,0.0018190342585612
ED_BEN_TRE_CHAU_THANH_DISTRICT,2008,1,20,2,157328.0,682.936146199592,1.86960821,2.79377276451613,0.839996477741936,298.844526774194,303.092307741935,295.85957483871,78.5397097419355,94.6329407741935,56.7947408387097,0.0020113266187548
ED_BEN_TRE_CHO_LACH_DISTRICT,2008,1,10,0,124534.0,659.637748521517,1.94926514193548,2.88859167741935,0.927794937419355,298.744496129032,302.934880967742,295.687174516129,79.2828275806452,94.9331079032258,57.7539946129032,0.0018898702715354
ED_BEN_TRE_GIONG_TROM_DISTRICT,2008,1,36,5,158912.0,508.681177976953,2.61885974516129,3.64811168064516,1.39709995580645,298.57789483871,301.994093548387,296.185329354839,81.1229382258065,93.6311406129032,63.1118453548387,0.0019010113047483
ED_BEN_TRE_MO_CAY_DISTRICT,2008,1,21,1,246571.0,1386.05895544077,2.1540411516129,3.10545708548387,1.09462654,298.66532983871,302.525655483871,295.924520806452,80.2894070483871,94.5721026612903,60.2629271935484,0.0039220489121419
ED_BEN_TRE_THANH_PHU_DISTRICT,2008,1,8,2,127757.0,288.058893824266,3.84052774516129,5.05572630967742,2.40643372612903,298.559916774194,301.210093548387,296.74877,81.5212510645161,91.346739483871,67.3740590645161,0.001849834716558
ED_CA_MAU_CA_MAU_CITY,2008,1,8,0,214377.0,856.466878862055,2.70565338483871,4.05670703548387,1.42661098451613,299.064239677419,303.349750322581,296.003927741935,77.4746978387097,93.7207983870968,55.4429594516129,0.0021337156570774
