fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2013,6,12,2,180147.0,795.632011306422,2.27392687833333,3.61875096333333,1.36972739766667,300.324199,303.632782,298.243010333333,86.2232676,95.2791426333333,71.1022205333333,0.01057046089
ED_AN_GIANG_CHAU_DOC_CITY,2013,6,2,1,114124.0,1083.89645789506,2.40178724,3.76878082666667,1.431394775,300.26074,303.387361666667,298.310988666667,86.7229071333333,95.2128666,72.6349963,0.0111518740566667
ED_AN_GIANG_CHAU_PHU_DISTRICT,2013,6,8,0,246296.0,546.101662144939,2.522289418,3.92403878666667,1.47970162933333,300.148624333333,303.160513333333,298.289336666667,86.9430755,95.081247,73.6119066333333,0.0113554454266667
ED_AN_GIANG_CHAU_THANH_DISTRICT,2013,6,4,1,170944.0,481.452378337122,2.60965981133333,4.03756290666667,1.532665742,300.120708333333,303.031066666667,298.326443333333,87.1613085666667,94.9722547333333,74.5615579666667,0.0109485083066667
ED_AN_GIANG_CHO_MOI_DISTRICT,2013,6,13,0,346222.0,937.61467243932,2.69508951133333,4.18761118666667,1.61670994466667,300.178454,303.141104666667,298.400771333333,86.9599678333333,94.9421955,73.9429878666667,0.0103167443133333
ED_AN_GIANG_LONG_XUYEN_CITY,2013,6,17,1,284780.0,2468.96454862372,2.66716560433333,4.13276787333333,1.57466449466667,300.134988333333,303.043475333333,298.358074333333,87.103272,94.9283753,74.5377970333333,0.0107731046766667
ED_AN_GIANG_PHU_TAN_DISTRICT,2013,6,2,1,207196.0,660.914178063031,2.46642085,3.86881502666667,1.47216311733333,300.205493333333,303.340466333333,298.296115666667,86.8410843,95.2382264,72.8569911,0.00999303817
ED_AN_GIANG_TAN_CHAU_TOWN,2013,6,21,0,172488.0,976.459186261367,2.302696612,3.71866136,1.36977292533333,300.317962666667,303.616686666667,298.298795,86.6100009,95.4587282666667,71.6012149,0.01028052892
ED_AN_GIANG_THOAI_SON_DISTRICT,2013,6,5,1,181328.0,386.746270490335,2.67389811333333,4.15541962666667,1.54496564866667,300.056308333333,302.808608666667,298.334095,87.4959083666667,94.9224117,75.5241846666667,0.01211837536
ED_AN_GIANG_TINH_BIEN_DISTRICT,2013,6,1,0,121399.0,342.074141658746,2.56195590333333,3.95081596666667,1.52741926466667,300.007252333333,302.956047,298.168499666667,86.9038160666667,95.1008645666667,73.3104580333333,0.0141186254533333
ED_AN_GIANG_TRI_TON_DISTRICT,2013,6,2,0,134462.0,224.72131695496,2.74919878166667,4.1665676,1.65464846033333,300.100908666667,302.845508,298.388899,87.0943118333333,94.7911077666667,74.4288578666667,0.0141700594933333
ED_BAC_LIEU_BAC_LIEU_CITY,2013,6,4,0,151227.0,707.29619755858,3.26884472466667,4.82323249333333,2.109196207,300.419048666667,302.958973,298.721529333333,85.0463292666667,93.2738898333333,74.0081106666667,0.0115296107833333
ED_BAC_LIEU_DONG_HAI_DISTRICT,2013,6,7,1,147776.0,254.948846678053,3.06450800333333,4.75682098333333,1.86661316466667,300.470587,303.174900333333,298.715693333333,85.8014496333333,94.1602270333333,73.8107683666667,0.01254532406
ED_BAC_LIEU_GIA_RAI_TOWN,2013,6,3,1,139710.0,394.11548985867,2.662236928,4.34876768666667,1.50266828333333,300.309328,303.388643,298.372803,86.1759660666667,95.1952160333333,72.6092620333333,0.0129592225266667
ED_BAC_LIEU_HONG_DAN_DISTRICT,2013,6,0,0,108793.0,256.611472780451,2.40050040033333,4.01025732,1.291432824,300.054247333333,303.289333666667,297.982695333333,87.2448634333333,96.2089788333333,73.0839328,0.01360942748
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2013,6,0,0,121164.0,289.977024698449,2.48513848,4.17362814333333,1.34216286066667,300.157824333333,303.412827666667,298.099684333333,86.6895184,95.8967073666667,72.4211728333333,0.01316231236
ED_BAC_LIEU_VINH_LOI_DISTRICT,2013,6,5,1,212448.0,656.574071545405,2.90266845666667,4.519052815,1.76812866866667,300.295104333333,303.156401833333,298.4448255,85.8878334666667,94.4881549333333,73.5621298333333,0.0230649483366667
ED_BEN_TRE_BA_TRI_DISTRICT,2013,6,12,0,186603.0,522.083701597869,2.91706116666667,4.32578890333333,1.85617774266667,300.303569333333,302.996457,298.730329,87.2491188,94.6002066,75.9143113333333,0.0119255596066667
ED_BEN_TRE_BEN_TRE_CITY,2013,6,3,1,119874.0,1685.99156118144,2.004252547,3.10984373,1.17682823333333,299.920580666667,303.129395666667,298.131222666667,89.3626526333333,97.0754134,75.2633944666667,0.0136165061
ED_BEN_TRE_BINH_DAI_DISTRICT,2013,6,7,0,134369.0,318.787663107948,2.97197662333333,4.25428926666667,1.91930987333333,300.315458,302.970529,298.774795666667,87.1375215666667,94.3900287,75.6779519333333,0.0131195961666667
ED_BEN_TRE_CHAU_THANH_DISTRICT,2013,6,2,0,164652.0,731.461572634385,1.922751372,3.00143863,1.117246764,299.861423,303.177501666667,298.031154333333,89.5043166,97.3431894333333,74.7200410666667,0.0128932222733333
ED_BEN_TRE_CHO_LACH_DISTRICT,2013,6,0,0,110736.0,662.181600625011,2.00911222366667,3.15732920333333,1.20092162713333,299.850131333333,303.075722,298.038046,89.6055971333333,97.0830120333333,75.5892261666667,0.0124009562666667
ED_BEN_TRE_GIONG_TROM_DISTRICT,2013,6,0,0,158233.0,505.278451909567,2.29531034333333,3.51490619666667,1.389154354,300.068015333333,303.085831666667,298.343802,88.6751132333333,96.2565664333333,75.8762410666667,0.0134658133233333
ED_BEN_TRE_MO_CAY_DISTRICT,2013,6,10,0,256734.0,1358.01965527997,2.03232175383333,3.22182669166667,1.1756968449,299.906627833333,303.140025666667,298.118915,89.3186576,97.0027056666667,75.21851145,0.0265244833333333
ED_BEN_TRE_THANH_PHU_DISTRICT,2013,6,11,2,127772.0,302.27584575349,3.09239453666667,4.60025952,1.982751869,300.359626333333,302.985731,298.797814333333,86.7715526666667,94.2115260666667,75.6846376666667,0.0111226741833333
ED_CA_MAU_CA_MAU_CITY,2013,6,4,1,221485.0,888.457533266263,2.34546339366667,4.10401686333333,1.136574231,300.308566,303.680703666667,298.178429,86.1454633666667,95.9821589,71.2649795,0.01582066269
ED_CA_MAU_CAI_NUOC_DISTRICT,2013,6,6,0,138014.0,330.900184973621,2.706683785,4.34668291666667,1.47801812833333,300.426629666667,303.309854333333,298.554601,86.7023374666667,95.5184769666667,74.2408316666667,0.01504524821
ED_CA_MAU_DAM_DOI_DISTRICT,2013,6,2,0,182703.0,227.823430388428,2.95146495666667,4.56686841,1.71635302483333,300.491076666667,303.234905,298.700700666667,86.1735622,94.7174480333333,74.1219726666667,0.0144906983933333
ED_CA_MAU_NAM_CAN_DISTRICT,2013,6,1,0,61509.0,124.161251975944,3.622873415,5.18796468,2.273104475,300.594618333333,302.761763,299.037037,85.9054748666667,93.2940380333333,76.4739411,0.0142884831733333
ED_CA_MAU_NGOC_HIEN_DISTRICT,2013,6,2,0,73970.0,100.614815419353,4.86073964,6.37841094666667,3.316623963,300.807115,302.193618,299.511552333333,83.8560584,90.5629828333333,77.5535074666667,0.01422952487
ED_CA_MAU_PHU_TAN_DISTRICT,2013,6,4,0,100785.0,218.206027539621,3.15973298333333,4.79040823666667,1.873314457,300.489340333333,302.961340333333,298.810351333333,86.7437761666667,94.6153132666667,76.0127085333333,0.0147796402466667
ED_CA_MAU_THOI_BINH_DISTRICT,2013,6,2,0,142875.0,224.540311173975,2.47189684,4.14256505333333,1.27471589033333,300.150433666667,303.231813333333,298.142352666667,87.267875,96.1010659333333,73.7323902333333,0.01585205529
ED_CA_MAU_TRAN_VAN_THOI_DISTRICT,2013,6,10,0,189293.0,271.405634950653,2.80478295466667,4.49642031666667,1.56674532233333,300.301097333333,303.059909333333,298.473785333333,87.3356209333333,95.5441849666667,75.2350646333333,0.01528573195
