fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2009,10,144,9,179919.0,827.327907297558,1.63889597419355,2.8729853516129,0.635716214387097,299.656160322581,303.522773225806,297.117100967742,85.6053140645161,97.1991510322581,67.3778569354839,0.008481488348258
ED_AN_GIANG_CHAU_DOC_CITY,2009,10,22,1,120621.0,1152.29415642106,1.70987528290323,2.99279488709677,0.657212592064516,299.634861290323,303.454296774194,297.115929677419,85.9076456451613,97.2881028387097,68.0536303870968,0.0086216113925806
ED_AN_GIANG_CHAU_PHU_DISTRICT,2009,10,37,5,245782.0,544.961991771314,1.81655138387097,3.16190386129032,0.719392631290323,299.576893870968,303.385222258065,297.103092903226,85.8816375483871,97.1083141612903,68.4188993870968,0.0087353624516129
ED_AN_GIANG_CHAU_THANH_DISTRICT,2009,10,63,12,170588.0,480.447021779356,1.90752450322581,3.2737914483871,0.795431748064516,299.59197,303.334934516129,297.164185806452,85.901899483871,96.8627227419355,68.8467916774194,0.0087981772064516
ED_AN_GIANG_CHO_MOI_DISTRICT,2009,10,49,11,345258.0,934.090833460266,1.9665665,3.35216752903226,0.847302953225807,299.660625806452,303.42088516129,297.298497096774,85.6314386129032,96.755670516129,68.0715591290323,0.0087991595870967
ED_AN_GIANG_LONG_XUYEN_CITY,2009,10,109,7,281898.0,2442.16176599263,1.96707895483871,3.32505065806452,0.833750754516129,299.621884193548,303.34003483871,297.249938064516,85.8057240967742,96.7929856129032,68.6849355483871,0.0086979341935483
ED_AN_GIANG_PHU_TAN_DISTRICT,2009,10,36,9,216835.0,735.183427137723,1.77862687096774,3.06977038064516,0.715457481290323,299.641711612903,303.516009032258,297.162209354839,85.5633716451613,97.1227764516129,67.3850379354839,0.0083188713977419
ED_AN_GIANG_TAN_CHAU_TOWN,2009,10,72,7,171305.0,969.73090045349,1.69952250645161,2.96477640967742,0.685612265354839,299.733559677419,303.680206129032,297.214900645161,85.3333506774194,97.3212407419355,66.4784448064516,0.0080766788629032
ED_AN_GIANG_THOAI_SON_DISTRICT,2009,10,23,1,180937.0,385.912324316761,2.03104892580645,3.47593948064516,0.89218524,299.505158387097,303.094626451613,297.141423548387,86.4464792258065,96.8608923548387,70.2720430967742,0.0094965795935483
ED_AN_GIANG_TINH_BIEN_DISTRICT,2009,10,9,1,122007.0,343.747534739049,1.80785737096774,3.19508555806452,0.659192321806452,299.348785806452,303.062956774194,296.853126129032,86.3691434193548,97.4845582580645,69.0636640967742,0.0093923271193548
ED_AN_GIANG_TRI_TON_DISTRICT,2009,10,7,1,132625.0,221.651207487257,1.97753941612903,3.46986985806452,0.798790960967742,299.488410967742,303.019140967742,297.089012580645,86.4122204516129,97.0260535806452,70.2026611612903,0.0096980962903225
ED_BAC_LIEU_BAC_LIEU_CITY,2009,10,19,8,147480.0,842.694703159819,3.21902436129032,4.67274031290323,1.97625316419355,299.722098064516,302.524714193548,297.946333225806,84.7398552258065,93.1718306774194,72.371068,0.0114012994387097
ED_BAC_LIEU_DONG_HAI_DISTRICT,2009,10,9,2,143494.0,251.743859649123,3.06165206451613,4.67973800645161,1.77187898935484,299.71366483871,302.539160967742,297.882536129032,86.0579790967742,94.5948268709677,73.3940573548387,0.0115685616054839
ED_BAC_LIEU_GIA_RAI_TOWN,2009,10,7,3,136200.0,383.640358289674,2.56302856774194,4.19671050967742,1.32787823387097,299.510498709677,302.760661612903,297.436692903226,86.6079644516129,95.8204340645161,72.3942435483871,0.0118724156935484
ED_BAC_LIEU_HONG_DAN_DISTRICT,2009,10,8,2,105490.0,248.803037807495,2.18905327741935,3.78843894193548,1.00711336645161,299.253877419355,302.745267741935,296.993285806452,87.6758445806452,96.9874111935484,72.9469016451613,0.0125170725032258
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2009,10,30,5,118106.0,281.875894988067,2.31579352258065,3.96655024516129,1.09898113,299.3368,302.825811290323,297.112262580645,87.2058379354839,96.678137,72.4049879032258,0.0122171940806452
ED_BAC_LIEU_VINH_LOI_DISTRICT,2009,10,27,4,206059.0,674.280222589957,2.80367453870968,4.31716704193548,1.59481540048387,299.555557096774,302.661836612903,297.591552258064,85.8907858548387,94.7498114193548,72.3446239516129,0.0232038010448387
ED_BEN_TRE_BA_TRI_DISTRICT,2009,10,22,5,187751.0,527.512696060183,2.61336948709677,3.81714727741935,1.4765339046129,299.689380967742,302.73332516129,297.972672258065,86.7140367096774,94.6760642580645,73.0739425806452,0.0121664447725806
ED_BEN_TRE_BEN_TRE_CITY,2009,10,43,2,116678.0,1729.07528156491,1.65968229516129,2.62178741290323,0.752322235322581,299.31989516129,303.110316451613,297.259092903226,88.9831892258065,97.7246288064516,71.536079516129,0.0131369867096774
ED_BEN_TRE_BINH_DAI_DISTRICT,2009,10,33,3,132257.0,326.964153275649,2.5978944,3.8226241516129,1.42161573870968,299.68803516129,302.733889032258,297.954552258064,86.6473768064516,94.5987478064516,72.8723172258065,0.0123118101369355
ED_BEN_TRE_CHAU_THANH_DISTRICT,2009,10,104,13,157028.0,681.633893302079,1.52052700645161,2.496714,0.668025145806452,299.247555806452,303.195184193548,297.047950645161,89.1732523870968,98.1337484516129,70.9180752258064,0.0127972839816129
ED_BEN_TRE_CHO_LACH_DISTRICT,2009,10,40,5,110140.0,658.617232031826,1.61657201419355,2.58543884193548,0.716709442387097,299.235396129032,303.110291935484,297.038810967742,89.1758210322581,97.9416667419355,71.5582793870968,0.0120464687564516
ED_BEN_TRE_GIONG_TROM_DISTRICT,2009,10,56,8,158383.0,506.987836107554,1.96437200645161,3.0313110483871,1.0010269083871,299.461333870968,302.980193548387,297.511126774194,88.2613540967742,96.812676516129,72.4628912258065,0.0132350965258065
ED_BEN_TRE_MO_CAY_DISTRICT,2009,10,91,8,256466.0,1368.61943908411,1.698560055,2.70889470967742,0.785954642112903,299.307867741936,303.102203870968,297.223868225806,88.9032836129032,97.5813402741936,71.4738963225807,0.0262675841225806
ED_BEN_TRE_THANH_PHU_DISTRICT,2009,10,30,7,127606.0,287.718427994859,2.8219695516129,4.05457891612903,1.64588229419355,299.746643548387,302.705457419355,298.063920967742,86.2395355806452,94.1432516129032,73.2605716774193,0.0116985788967742
ED_CA_MAU_CA_MAU_CITY,2009,10,8,2,216265.0,867.519939540561,2.27862658064516,4.0248800483871,0.992534826451613,299.461485483871,302.989066774194,297.185715483871,86.7638745483871,96.7460962903226,71.5799095806452,0.0132986473354839
ED_CA_MAU_CAI_NUOC_DISTRICT,2009,10,2,0,137416.0,329.466429625509,2.64987567419355,4.34506848064516,1.32648423580645,299.588294193548,302.598722903226,297.601900645161,86.967978,95.870015516129,73.7205564516129,0.0124867373612903
ED_CA_MAU_DAM_DOI_DISTRICT,2009,10,1,0,182048.0,227.006671238855,3.01268499032258,4.6279373,1.68360272258065,299.681097419355,302.538539677419,297.835059354839,86.4644066774194,94.9707120967742,73.9815446129032,0.0120037854432258
ED_CA_MAU_NAM_CAN_DISTRICT,2009,10,4,1,66229.0,133.688981402962,3.72938861290323,5.34383382903226,2.38213442290323,299.807611612903,302.08522483871,298.218341612903,85.9029327096774,93.2703330645161,76.081922483871,0.0118283007580645
ED_CA_MAU_NGOC_HIEN_DISTRICT,2009,10,0,0,78370.0,106.899279790485,5.07059612258065,6.66351243870968,3.68770901935484,300.070603870968,301.459016774194,298.789050967742,83.680084,89.980097516129,77.6092299354839,0.0123162595032258
ED_CA_MAU_PHU_TAN_DISTRICT,2009,10,26,7,103885.0,224.917727548281,3.04334971612903,4.76315141612903,1.68770129903226,299.671983225806,302.249413225806,297.873928387097,86.7560095483871,94.8958381290323,75.2494003548387,0.0120995368806452
ED_CA_MAU_THOI_BINH_DISTRICT,2009,10,8,2,138790.0,216.869540759723,2.30863469354839,3.96637015806452,1.06169752870968,299.307851612903,302.55229,297.148295806452,87.9921952580645,96.9417521612903,74.5066646774194,0.0134903228483871
ED_CA_MAU_TRAN_VAN_THOI_DISTRICT,2009,10,52,0,186262.0,267.059829878435,2.63656327096774,4.31223325806452,1.30176266935484,299.471138387097,302.343063548387,297.50081483871,87.6340200967742,96.2010916129032,75.0847912903226,0.0132723185483871
ED_CA_MAU_U_MINH_DISTRICT,2009,10,1,0,102315.0,132.608994315369,2.70320916451613,4.30636129032258,1.38684821806452,299.419713225806,302.003582903226,297.576812903226,88.143879516129,96.0943537419355,76.8095447096774,0.0144422792064516
ED_CAN_THO_BINH_THUY_URBAN_DISTRICT,2009,10,5,1,111306.0,1574.73653234261,2.02549508935484,3.36271842258065,0.965554276774194,299.424317419355,303.10478516129,297.135566774194,86.8919033225806,97.0561953548387,70.0989814516129,0.010172242183871
ED_CAN_THO_CAI_RANG_URBAN_DISTRICT,2009,10,18,5,86525.5741171766,1266.37493695136,2.08637534709677,3.44394648387097,1.02305054019355,299.380999032258,302.979616451613,297.16788516129,87.2176402258064,96.8893768064516,70.8720940645161,0.0102889965774194
ED_CAN_THO_CO_DO_DISTRICT,2009,10,11,5,245367.218326967,837.136258503124,2.0436922483871,3.47120381774194,0.936554992016129,299.479165,303.219853709677,297.095030806452,86.2812129677419,97.0465166451613,69.1027498064516,0.0210187288
ED_CAN_THO_NINH_KIEU_URBAN_DISTRICT,2009,10,22,1,244065.0,8339.93972239497,2.04630540322581,3.3884960516129,0.984218932903226,299.405681290323,303.052759354839,297.139211935484,87.0296317419355,97.0216653548387,70.3907080967742,0.0102448146967742
ED_CAN_THO_O_MON_URBAN_DISTRICT,2009,10,26,3,129481.422870675,979.320313719976,1.99936242258065,3.31703153870968,0.945321054064516,299.447151612903,303.173211612903,297.107018709677,86.7081252903226,97.3235439677419,69.5759459677419,0.0098140043064516
ED_CAN_THO_PHONG_DIEN_DISTRICT,2009,10,14,5,99667.0,795.707663836725,2.07674130967742,3.48954395806452,0.981661697580645,299.408527741935,303.055372580645,297.112140645161,86.7053268064516,96.9357746451613,69.9551565483871,0.0108604621
ED_CAN_THO_THOT_NOT_URBAN_DISTRICT,2009,10,22,4,137741.156578602,1229.25444459658,2.01523858387097,3.36816404193548,0.930222171935484,299.564178387097,303.344114516129,297.160463225806,86.1832358709677,97.2469956774193,68.6476969032258,0.0089301909419354
ED_CAN_THO_VINH_THANH_DISTRICT,2009,10,2,1,112887.781128828,378.520702792968,2.06833846774194,3.46927795806452,0.939097044193548,299.490057096774,303.066294193548,297.145462580645,86.5551131290323,96.8427736129032,70.4884079354839,0.0097057386354838
ED_DONG_THAP_CAO_LANH_CITY,2009,10,34,5,161950.0,1511.71473910203,1.90335756451613,3.25756316774194,0.799818115580645,299.620784516129,303.547437419355,297.177741290323,85.7202104193548,97.0774939032258,67.5524157419355,0.0093768474145161
ED_DONG_THAP_CAO_LANH_DISTRICT,2009,10,91,5,199774.0,407.535699714402,1.82933060322581,3.12321872258065,0.760419308064516,299.575973225806,303.615607419355,297.098577419355,85.9506996129032,97.3067170967742,67.3790632258064,0.00998395363
ED_DONG_THAP_CHAU_THANH_DISTRICT,2009,10,107,2,139202.0,576.607550053746,1.88287643548387,3.09831507741935,0.854519158225806,299.440374193548,303.198989677419,297.198381935484,87.3072708709677,97.1969541290323,70.2181382258065,0.0101460086645161
ED_DONG_THAP_HONG_NGU_DISTRICT,2009,10,97,23,221967.0,1324.94096599105,1.72328245403226,3.00345525806452,0.673862506129032,299.783932741935,303.798190483871,297.179535322581,84.7825473387097,97.2325054516129,65.8633930967742,0.0166148356014839
ED_DONG_THAP_LAI_VUNG_DISTRICT,2009,10,56,14,172183.0,709.951894154771,1.93415922903226,3.23737398387097,0.883385013870968,299.511433870968,303.323883225806,297.173091290323,86.5090749677419,97.1030396451613,69.0699671935484,0.0096489042225806
