fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2011,1,34,5,179940.98568,794.722134440421,1.81426557096774,2.94286625806452,0.580978771612903,298.999389677419,303.662734516129,294.839000322581,68.0697999677419,89.5480707419355,46.3987639354839,0.0009957038090064
ED_AN_GIANG_CHAU_DOC_CITY,2011,1,6,0,113012.0,1073.33520118149,1.74745440645161,2.88844309677419,0.559617906129032,298.712727096774,303.197266451613,294.732713548387,71.7421539677419,92.5798658709677,50.0069214193548,0.0012235950289032
ED_AN_GIANG_CHAU_PHU_DISTRICT,2011,1,29,6,245958.0,545.352229097692,1.72674448709677,2.82891511290323,0.567536243870968,298.497128064516,302.87095483871,294.556833870968,74.1369490967742,94.5761368387097,52.4539288709677,0.0014232631244032
ED_AN_GIANG_CHAU_THANH_DISTRICT,2011,1,20,1,170710.0,480.793332939033,1.72608813870968,2.74570226129032,0.617435936774194,298.295384193548,302.485968387097,294.546742903226,76.9105934193548,95.6635919677419,55.9557767741935,0.0015860156210709
ED_AN_GIANG_CHO_MOI_DISTRICT,2011,1,74,16,345781.0,936.420386488266,1.74239119354839,2.7058143483871,0.701846622580645,298.299168064516,302.292583548387,294.772609032258,78.0670755483871,95.6149570322581,57.7168068387097,0.001637002840229
ED_AN_GIANG_LONG_XUYEN_CITY,2011,1,76,3,280051.0,2427.96541472934,1.73907790967742,2.6947747516129,0.692946079032258,298.236499677419,302.249899032258,294.704714516129,78.256409483871,95.7166091612903,58.0160718709677,0.0017389237214322
ED_AN_GIANG_PHU_TAN_DISTRICT,2011,1,41,9,206738.0,659.453248829103,1.71636883129032,2.79227428064516,0.569005463870968,298.640870645161,303.057975483871,294.699988387097,73.2551743548387,93.7591028064516,51.3253872903226,0.0012634420806967
ED_AN_GIANG_TAN_CHAU_TOWN,2011,1,33,6,172249.0,975.106200862287,1.77484811193548,2.85262762258065,0.589025888387097,298.939078064516,303.575431612903,294.845827419355,70.3716084516129,92.6575933870968,47.6996376774194,0.0011070269552032
ED_AN_GIANG_THOAI_SON_DISTRICT,2011,1,13,0,181081.0,386.219455388359,1.77939782903226,2.76688105806452,0.694024026774194,298.184992903226,302.192868709677,294.557228387097,78.3743128064516,96.0851906129032,58.4078794193548,0.0018812596921709
ED_AN_GIANG_TINH_BIEN_DISTRICT,2011,1,1,0,121232.0,341.603574506982,1.7803725483871,2.95792603548387,0.650245909677419,298.369724516129,302.78978516129,294.348359354839,72.7227618064516,93.6762591290323,51.1451899677419,0.0015055161656225
ED_AN_GIANG_TRI_TON_DISTRICT,2011,1,4,0,132720.0,221.053588839659,1.86320209354839,3.03166555483871,0.759859426774194,298.459276774194,302.795628709677,294.481508387097,74.0874703548387,94.3303252580645,52.5366166451613,0.0015741617419161
ED_BAC_LIEU_BAC_LIEU_CITY,2011,1,17,5,150023.0,701.665029699266,4.01747236129032,5.41431426774194,2.63976768741935,298.583080645161,301.388913225806,296.345468387097,77.3280693548387,88.6615825806452,63.1897628709677,0.0013589032431354
ED_BAC_LIEU_DONG_HAI_DISTRICT,2011,1,46,14,146382.0,252.543864189224,3.83941843225806,5.29172875483871,2.48037023870968,298.693371935484,301.757663870968,296.393258387097,78.0362154516129,90.1655412903226,61.7550498064516,0.0012915786060871
ED_BAC_LIEU_GIA_RAI_TOWN,2011,1,52,11,138634.0,391.080143304466,3.05682842903226,4.45419426774194,1.81736486548387,298.607694193548,302.237948064516,295.76218516129,77.3359195806452,91.4460619354839,59.393074516129,0.0013523899805483
ED_BAC_LIEU_HONG_DAN_DISTRICT,2011,1,3,3,107745.0,254.139541466176,2.34445331290323,3.66428363225806,1.19133418967742,298.325612580645,302.378777419355,294.928379677419,78.0020340645161,93.7392624516129,59.1469668709677,0.0016065452209677
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2011,1,26,7,120178.0,287.617269768332,2.64102387419355,4.03084726451613,1.45203753774194,298.496358387097,302.442791612903,295.286888387097,77.1700844516129,92.4232862903226,58.4839959032258,0.0014038997175548
ED_BAC_LIEU_VINH_LOI_DISTRICT,2011,1,23,9,210331.0,650.058626833475,3.39387764451613,4.77381715645161,2.11980123322581,298.542811290323,301.790236290323,295.950806451613,77.5201946290323,90.3357434677419,61.4809059032258,0.0026582919283096
ED_BEN_TRE_BA_TRI_DISTRICT,2011,1,6,2,187157.0,523.63370010103,3.25370552580645,4.58317390322581,1.89807262677419,298.381506451613,300.865831290323,296.357598387097,80.1893014516129,91.3163713548387,66.8651528387097,0.0020465574657548
ED_BEN_TRE_BEN_TRE_CITY,2011,1,27,1,118246.0,1752.31179608773,1.68778135806452,2.54919257096774,0.777571736129032,298.272051290323,301.718052903226,295.44164,81.4726237741936,95.8736586451613,63.0151824193548,0.0022817561558193
ED_BEN_TRE_BINH_DAI_DISTRICT,2011,1,7,3,133273.0,317.694874851013,3.08061343225806,4.46080498387097,1.70293720322581,298.414021935484,300.951082258065,296.311447419355,80.0108320645161,91.5193406774194,66.4363895806452,0.002268499869329
ED_BEN_TRE_CHAU_THANH_DISTRICT,2011,1,18,3,160810.0,703.148229121119,1.41269556774194,2.24825032903226,0.593581456451613,298.223452903226,301.950614516129,295.059354193548,81.5904807096774,96.4650919354839,61.8146718064516,0.0022422920001387
ED_BEN_TRE_CHO_LACH_DISTRICT,2011,1,11,1,110398.0,660.160815456893,1.52202415,2.33215157096774,0.690634751935484,298.121749032258,301.812420645161,295.009771612903,82.3996447419355,96.6584132580645,63.0146502258064,0.0021117813217871
ED_BEN_TRE_GIONG_TROM_DISTRICT,2011,1,20,2,157870.0,504.054916985951,2.17442218064516,3.19400273225806,1.10192930258065,298.298113548387,301.378056774194,295.731826129032,81.1756876129032,94.5850466774194,64.7950002903226,0.0022416688079677
