fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2011,3,21,1,179940.98568,794.722134440421,2.04652423548387,3.39190873225806,0.773993618064516,300.69703,305.41879,297.317269032258,69.6199199032258,88.3008399354839,47.8904198709677,0.0038067235623496
ED_AN_GIANG_CHAU_DOC_CITY,2011,3,3,0,113012.0,1073.33520118149,2.01945972580645,3.34323497419355,0.748465465806452,300.41032516129,304.965747096774,297.134143870968,72.0811913548387,89.9787388709677,50.7919746129032,0.0046449726871387
ED_AN_GIANG_CHAU_PHU_DISTRICT,2011,3,10,1,245958.0,545.352229097692,2.00220233870968,3.37327267419355,0.728550836451613,300.099133548387,304.497363225806,296.91631,73.9767153548387,91.0603019677419,53.307874483871,0.0059311991699354
ED_AN_GIANG_CHAU_THANH_DISTRICT,2011,3,4,1,170710.0,480.793332939033,2.03568208064516,3.41585318064516,0.757657984516129,299.949153225806,304.207925806452,296.859015483871,75.2838181935484,91.6960749032258,55.4893520967742,0.0068288522359625
ED_AN_GIANG_CHO_MOI_DISTRICT,2011,3,11,4,345781.0,936.420386488266,2.12919900322581,3.44629589677419,0.850278821290323,299.994601290323,304.167549032258,296.996423870968,75.3898499354839,91.4519445806452,55.8417672258064,0.0067967985406561
ED_AN_GIANG_LONG_XUYEN_CITY,2011,3,33,2,280051.0,2427.96541472934,2.11244170645161,3.40851448064516,0.835405691290323,299.906374516129,304.051156451613,296.916418064516,75.8621441935484,91.6943769354839,56.5899464516129,0.0071635810749302
ED_AN_GIANG_PHU_TAN_DISTRICT,2011,3,10,0,206738.0,659.453248829103,2.02725431935484,3.4212981516129,0.733880650967742,300.383462903226,304.939261290323,297.120260322581,72.1625427419355,89.724994516129,50.9694549677419,0.0049912302599709
ED_AN_GIANG_TAN_CHAU_TOWN,2011,3,24,3,172249.0,975.106200862287,2.05246983870968,3.48312737096774,0.730488669032258,300.716442258064,305.482475483871,297.339310645161,70.112328516129,88.7097291935484,47.9785467096774,0.0040377666616496
ED_AN_GIANG_THOAI_SON_DISTRICT,2011,3,4,1,181081.0,386.219455388359,2.1148940483871,3.52739641612903,0.857859597419355,299.743997419355,303.863564516129,296.764991290323,76.7710290645161,92.2969178064516,57.9742633548387,0.008156106638027
ED_AN_GIANG_TINH_BIEN_DISTRICT,2011,3,3,1,121232.0,341.603574506982,2.01556513225806,3.3110364483871,0.757733246774194,299.857803225806,304.260641935484,296.711415806452,74.4208559354839,91.4744925483871,53.5824396129032,0.0063662924630161
ED_AN_GIANG_TRI_TON_DISTRICT,2011,3,6,2,132720.0,221.053588839659,2.09495002258065,3.44389429032258,0.869751783225806,299.820798387097,304.092666129032,296.749631935484,75.8037770645161,92.1054718709677,55.5761629354839,0.0073719969266129
ED_BAC_LIEU_BAC_LIEU_CITY,2011,3,15,2,150023.0,701.665029699266,4.93441207741935,6.45958805483871,3.59074546354839,299.573806774194,302.229477096774,297.80106,78.3403359032258,88.2406553870968,65.4572552580645,0.0071175363019354
ED_BAC_LIEU_DONG_HAI_DISTRICT,2011,3,8,1,146382.0,252.543864189224,4.66805462903226,6.27624499032258,3.22865699354839,299.537189677419,302.277664193548,297.756602903226,79.8189034516129,89.8781181290323,66.0765041290323,0.0083753895174193
ED_BAC_LIEU_GIA_RAI_TOWN,2011,3,19,2,138634.0,391.080143304466,3.74884019032258,5.39404919032258,2.34952664451613,299.585988709677,302.959379354839,297.398944516129,78.6514867096774,90.6222958709677,62.5998143870968,0.0084509163880645
ED_BAC_LIEU_HONG_DAN_DISTRICT,2011,3,0,0,107745.0,254.139541466176,2.8542985483871,4.47575866129032,1.57713843419355,299.573733548387,303.535117741935,296.955808709677,77.9319832258064,91.4907049677419,59.8913180322581,0.0088030236058064
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2011,3,4,2,120178.0,287.617269768332,3.22367883225806,4.89774935483871,1.85241551387097,299.616718709677,303.398271290323,297.150184193548,77.8553503548387,90.9672519354839,60.3745221290323,0.0084663774974193
ED_BAC_LIEU_VINH_LOI_DISTRICT,2011,3,7,1,210331.0,650.058626833475,4.20553318387097,5.79927581129032,2.85785748596774,299.59299516129,302.704014032258,297.544007258065,78.1917246451613,89.3670794516129,63.4235165483871,0.0148811360293548
ED_BEN_TRE_BA_TRI_DISTRICT,2011,3,1,0,187157.0,523.63370010103,4.44840509677419,5.82304364193548,2.99843861258065,299.548270322581,302.060694516129,297.863729354839,78.6816649354839,88.1603949677419,65.3885954516129,0.0052841177977657
ED_BEN_TRE_BEN_TRE_CITY,2011,3,13,0,118246.0,1752.31179608773,2.55656436774194,3.70043975483871,1.34472843516129,299.619323870968,303.28266516129,297.247285806452,78.2589740645161,91.4293822580645,59.9310551935484,0.0051328265954089
ED_BEN_TRE_BINH_DAI_DISTRICT,2011,3,6,2,133273.0,317.694874851013,4.33851743225806,5.65594053225806,2.87181472612903,299.614454516129,302.214781290323,297.879750967742,78.1873810967742,87.8662076451613,64.559177483871,0.0045844149375328
ED_BEN_TRE_CHAU_THANH_DISTRICT,2011,3,17,0,160810.0,703.148229121119,2.12705919032258,3.18452999354839,1.01128100677419,299.662625483871,303.660653548387,297.058090322581,77.9324760322581,92.1001316129032,58.3592008709677,0.0050882039733173
ED_BEN_TRE_CHO_LACH_DISTRICT,2011,3,10,0,110398.0,660.160815456893,2.24942782258065,3.37082085483871,1.11810357967742,299.565316451613,303.525139354839,296.978964516129,78.7945207419355,92.5436560322581,59.6829657096774,0.0055591043946025
ED_BEN_TRE_GIONG_TROM_DISTRICT,2011,3,18,1,157870.0,504.054916985951,3.21459198709677,4.45327812903226,1.89660777612903,299.595890645161,302.760466774194,297.49946,78.4356957419355,90.1043236774194,62.2274703225806,0.0050902393081509
ED_BEN_TRE_MO_CAY_DISTRICT,2011,3,20,1,256540.0,1356.65483748872,2.59383781451613,3.79038036290323,1.37968763153226,299.582561935484,303.242180806452,297.219399516129,78.5193779354839,91.4715527419355,60.3924467580645,0.0111636888698231
ED_BEN_TRE_THANH_PHU_DISTRICT,2011,3,2,1,127662.0,302.015613910575,4.79045808709677,6.20016912258065,3.30539066258065,299.544578709677,301.98173516129,297.914625483871,78.8282370645161,87.96453,66.0748267419355,0.0057131773210141
ED_CA_MAU_CA_MAU_CITY,2011,3,30,12,220876.0,886.014611001735,3.26518286774194,5.10009488387097,1.77454236516129,299.544923548387,303.225097096774,297.174308064516,79.1034902258065,92.1982123225806,62.1387897741935,0.0104632716448387
ED_CA_MAU_CAI_NUOC_DISTRICT,2011,3,29,10,137545.0,329.775717986557,3.57796240322581,5.25970140322581,2.19658482193548,299.580781290323,303.041078064516,297.373708387097,79.5310216451613,92.0987497096774,63.3097399354839,0.009581623066129
ED_CA_MAU_DAM_DOI_DISTRICT,2011,3,16,5,181760.0,226.64754660515,4.48133796451613,6.11130679032258,3.04058303096774,299.52852516129,302.428236774194,297.654170645161,79.8731690645161,90.6912084193548,65.774573483871,0.0087987659180645
ED_CA_MAU_NAM_CAN_DISTRICT,2011,3,14,7,63869.0,128.925116689453,5.07006392258064,6.59403070322581,3.63184909870968,299.55553,302.184742580645,297.832882903226,80.1342777096774,90.1166940322581,67.1632802258064,0.0084675419551612
ED_CA_MAU_NGOC_HIEN_DISTRICT,2011,3,5,5,76062.0,103.460377050518,6.40812790322581,7.79158633870968,4.86388016096774,299.512797741935,301.249140322581,298.249684193548,80.7372252580645,87.9032707096774,72.2951929677419,0.0083993547174193
