fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2015,5,9,0,179572.0,793.965978823978,2.45966611935484,3.76472692580645,1.42464798258065,302.745980645161,307.243660967742,299.567044193548,72.8187203225806,90.4699980645161,52.6288846451613,0.0040522401206451
ED_AN_GIANG_CHAU_DOC_CITY,2015,5,7,0,111253.0,1057.22547801933,2.51342140967742,3.82694130645161,1.44477344193548,302.692901935484,307.049528064516,299.637557096774,73.3621271612903,90.32785,53.6307607096774,0.0043554565141935
ED_AN_GIANG_CHAU_PHU_DISTRICT,2015,5,30,2,246789.0,547.552069131308,2.5336839,3.8740988,1.43854259580645,302.733929677419,307.228333225806,299.693600967742,72.5873225483871,89.6189251612903,52.2284967419355,0.0041242497477419
ED_AN_GIANG_CHAU_THANH_DISTRICT,2015,5,20,0,170507.0,480.221596974024,2.51691799032258,3.85480310322581,1.46117111612903,302.737102903226,307.285866129032,299.64704516129,72.6639718387097,89.9022381612903,51.9961019032258,0.0038814222138709
ED_AN_GIANG_CHO_MOI_DISTRICT,2015,5,12,2,347257.0,940.921100512734,2.49753622258065,3.75552242580645,1.52320608258065,302.647455483871,307.188939354839,299.572000645161,73.4100250967742,90.4503405483871,52.7208359354839,0.0038361568227096
ED_AN_GIANG_LONG_XUYEN_CITY,2015,5,11,1,285745.0,2477.02803446662,2.46754017096774,3.73022153548387,1.4832667683871,302.635156451613,307.169289677419,299.546025483871,73.3218057741935,90.2986261290323,52.6373239354839,0.0040299914019354
ED_AN_GIANG_PHU_TAN_DISTRICT,2015,5,6,1,207630.0,663.06737400666,2.51188556774194,3.84379335483871,1.46754757419355,302.791676774194,307.383393548387,299.647438709677,72.4794187096774,90.0615713548387,51.7454855806452,0.0039901583045161
ED_AN_GIANG_TAN_CHAU_TOWN,2015,5,20,0,171802.0,973.72944805826,2.46812910645161,3.86971147741935,1.42106271322581,302.847862258065,307.490058709677,299.64781516129,72.6746921935484,90.5032265483871,51.8141745483871,0.0045145450148387
ED_AN_GIANG_THOAI_SON_DISTRICT,2015,5,2,0,181878.0,386.300316170533,2.49266341935484,3.89646851935484,1.41915291258065,302.61520483871,307.033976451613,299.601448709677,73.4483522258064,90.0614388387097,53.0869754516129,0.0044959970706451
ED_AN_GIANG_TINH_BIEN_DISTRICT,2015,5,0,0,121729.0,343.208349169222,2.57199812580645,3.8441132,1.45838913516129,302.291546774194,306.374740645161,299.454341612903,74.5922710645161,90.2994292258064,55.959887,0.0056958979480645
ED_AN_GIANG_TRI_TON_DISTRICT,2015,5,0,0,134679.0,224.375997520983,2.68782436129032,4.08417248064516,1.53164320225806,302.412299032258,306.288806774194,299.6553,74.7199165806452,90.0785521290323,56.5556897741935,0.0051195253990322
ED_BAC_LIEU_BAC_LIEU_CITY,2015,5,4,1,152165.0,711.683270193162,3.03296039677419,4.82917625483871,1.71764345387097,302.505239032258,305.939776129032,300.008623225806,73.1216393548387,86.767200483871,57.6361617096774,0.0050253607654838
ED_BAC_LIEU_DONG_HAI_DISTRICT,2015,5,4,1,148890.0,256.870762382899,2.70003429354839,4.39523192903226,1.48096130935484,302.406852903226,306.004997096774,299.794193870968,75.2235587419355,90.5901022258064,57.7544510967742,0.0052561924588709
ED_BAC_LIEU_GIA_RAI_TOWN,2015,5,1,0,140528.0,396.423030268837,2.24483048064516,3.74170508709677,1.15010093612903,302.448533548387,306.802385806452,299.363809677419,74.2319789677419,91.8253295483871,54.127883516129,0.0058805685374193
ED_BAC_LIEU_HONG_DAN_DISTRICT,2015,5,0,0,109617.0,258.555052363431,1.96707116129032,3.29774837741935,0.975690837096774,302.444091290323,307.383577096774,299.051321290323,73.6332036129032,92.0992033870968,51.7233818709677,0.0063538587003225
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2015,5,1,0,121946.0,291.848554470611,2.03854363870968,3.44988879032258,0.998671853225806,302.480541612903,307.311578387097,299.114287419355,73.5545593870968,92.2637628709677,51.8966880322581,0.006237681910129
ED_BAC_LIEU_VINH_LOI_DISTRICT,2015,5,12,1,214170.0,661.841093853855,2.59627118225806,4.24005050645161,1.41236882870968,302.473984677419,306.489385,299.607576290323,73.6244308870968,89.5995040645161,55.3389597903226,0.0108468232441935
ED_BEN_TRE_BA_TRI_DISTRICT,2015,5,46,2,185972.0,518.897695356729,2.72256186774194,4.25528401935484,1.55227714870968,302.421249032258,306.044963870968,300.00243483871,75.9999494516129,89.6442912580645,58.6639902258065,0.0059889938267741
ED_BEN_TRE_BEN_TRE_CITY,2015,5,5,2,121395.0,1718.94027356914,1.78633165806452,2.81866377741936,0.950163870483871,302.312446774194,307.053908064516,299.331240645161,76.3965452903226,93.0784861612903,53.4853247741936,0.0061570473103225
