fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2018,10,22,3,179978.0,795.760942647166,1.33093083225806,2.36428301290323,0.436970178193548,300.046788387097,304.303153870968,297.299222580645,83.8116433225806,96.1673266451613,62.8197821935484,0.0121315479387806
ED_AN_GIANG_CHAU_DOC_CITY,2018,10,19,0,111731.0,1061.76836589581,1.30247380935484,2.32846748064516,0.373685177741935,299.986599677419,304.27352,297.187782903226,84.394796516129,96.901995516129,63.5852977419355,0.0122631676158774
ED_AN_GIANG_CHAU_PHU_DISTRICT,2018,10,40,1,246831.0,547.645254755074,1.30633658064516,2.39136411290323,0.401156773870968,299.891799677419,304.147415806452,297.040272258065,84.6651972903226,97.1779168709677,64.1193686129032,0.0123568377797484
ED_AN_GIANG_CHAU_THANH_DISTRICT,2018,10,33,1,153209.0,431.502933315308,1.32466475709677,2.39892508709677,0.419278318225806,299.913871935484,304.073077419355,297.107395806452,84.8868301612903,97.1097432580645,64.8187301290323,0.0115153521298387
ED_AN_GIANG_CHO_MOI_DISTRICT,2018,10,152,5,311580.0,844.251365696754,1.4100630083871,2.49823343225806,0.515021604193548,300.034421290323,304.07229483871,297.338278709677,84.6240487419355,96.6843256451613,64.779999516129,0.0113694492716129
ED_AN_GIANG_LONG_XUYEN_CITY,2018,10,92,0,286638.0,2484.63561486146,1.37366426,2.43183191290323,0.508111203870968,299.981773548387,304.053950967742,297.268139354839,84.8460768709677,96.9021159032258,65.1864692580645,0.0108964961446774
ED_AN_GIANG_PHU_TAN_DISTRICT,2018,10,31,2,208005.0,663.535153757816,1.34747189225806,2.40106734193548,0.442513931935484,299.986848387097,304.193636774194,297.164723548387,84.2398242903226,96.7653078064516,63.515631483871,0.0119699470913613
ED_AN_GIANG_TAN_CHAU_TOWN,2018,10,49,0,172450.0,977.402145013719,1.37366293096774,2.47063850645161,0.409372519225806,300.108368064516,304.410161612903,297.314782258064,83.7211271612903,96.4834201935484,62.1601782258065,0.0121846490468452
ED_AN_GIANG_THOAI_SON_DISTRICT,2018,10,37,0,182282.0,387.158327710169,1.34804516709677,2.44482852258065,0.471266520806452,299.822981612903,303.962635483871,297.058615806452,85.5563272580645,97.3778897741935,65.8990544516129,0.0108046956812903
ED_AN_GIANG_TINH_BIEN_DISTRICT,2018,10,31,2,122160.0,344.424210179968,1.27670653225806,2.36956228387097,0.4119614,299.624159354839,303.949447096774,296.781780322581,85.0150623870968,97.4036977419355,64.2604982258065,0.0123466916213613
